"Country","Age","Gender","Kids","Edu","WorkStatus","Income","Occupation","PositionYrs","PositionMnth","CommSize","MaritalStatus","NumofSons","NumofDaughters","XDP1","XDP2","XDP3","XDP4","XDP5","XAIP1","XAIP2","XAIP3","XAIP4","XAIP5","XAIP6","XAIP7","XAIP8","XAIP9","XAIP10","XAIP11","XAIP12","XAIP13","XAIP14","XAIP15","XGP1","XGP2","XGP3","XGP4","XGP5","XGP6","XGP7","XGP8","XGP9","XGP10","XGP11","XGP12","XGP13","XGP14","XGP15","XGP16","XGP17","XGP18","XGP19","XGP20","XSWLS1","XSWLS2","XSWLS3","XSWLS4","XSWLS5","Yourself","Others","DP_Mean","AIP_Mean","GP_Mean","SWLS_Mean","HDI","Development.Category"
"Australia",45,"Male","Yes Kids","ltuni","full-time",87500,"",0,0,"Village","Divorced",NA,1,3,3,4,5,4,4,2,4,3,5,3,4,4,4,5,4,4,4,4,5,4,4,2,2,3,2,4,4,4,4,4,4,3,4,4,5,3,3,3,3,2,2,2,2,2,"yes","yes",3.8,3.93333333333333,3.45,2,0.939,"Very high human development"
"Australia",45,"Female","Yes Kids","lthigh","full-time",55000,"",0,0,"Medium-Sized","Married",NA,1,5,4,3,2,3,4,1,4,4,4,3,3,2,2,5,4,2,4,4,5,5,1,2,1,5,3,5,3,4,5,3,5,4,3,5,5,4,5,5,4,4,3,4,3,2,"yes","yes",3.4,3.4,3.85,3.2,0.939,"Very high human development"
"Australia",37.5,"Male","Yes Kids","ltuni","part-time",45000,"",3,10,"Village","Married",NA,3,4,4,3,3,2,2,3,4,4,4,5,3,5,3,4,3,2,3,3,4,5,3,4,2,4,3,5,4,5,3,2,4,3,4,5,5,2,4,4,5,1,2,1,2,1,"yes","yes",3.2,3.46666666666667,3.8,1.4,0.939,"Very high human development"
"Australia",37.5,"Female","Yes Kids","deg","full-time",45000,"",0,0,"Large Town","Married",NA,0,3,5,4,5,5,2,2,1,5,5,5,2,3,2,5,4,1,4,1,3,5,2,2,4,5,2,1,3,1,2,2,2,3,5,2,4,4,4,4,4,3,4,2,3,3,"yes","no",4.4,3,3.05,3,0.939,"Very high human development"
"Australia",55,"Female","Yes Kids","deg","full-time",87500,"",5,0,"Village","Married",NA,1,5,5,3,2,2,1,5,5,5,5,5,5,3,5,5,2,3,3,4,3,3,2,3,3,4,2,3,3,4,4,3,4,3,4,4,5,5,3,3,3,4,3,3,5,4,"yes","yes",3.4,3.93333333333333,3.4,3.8,0.939,"Very high human development"
"Australia",37.5,"Female","Yes Kids","deg","part-time",67500,"",0,3,"Village","Married",NA,0,2,3,2,2,2,1,1,4,3,2,2,2,2,2,3,3,2,3,1,2,3,2,2,3,3,2,1,2,3,3,4,3,4,3,3,4,2,4,2,3,3,3,3,4,3,"yes","no",2.2,2.2,2.8,3.2,0.939,"Very high human development"
"Australia",37.5,"Male","Yes Kids","ma","full-time",150000,"",14,0,"Village","Divorced",NA,1,2,5,3,3,3,3,2,5,4,4,3,5,4,3,3,4,3,3,4,5,5,3,5,4,3,2,4,3,4,4,3,4,4,4,3,5,3,3,5,4,3,3,3,3,2,"yes","yes",3.2,3.66666666666667,3.75,2.8,0.939,"Very high human development"
"Bermuda",37.5,"Male","Yes Kids","deg","full-time",150000,NA,2,0,"Medium-Sized","Married",NA,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,"yes","yes",3,2.73333333333333,2.55,3.4,NA,NA
"Bolivia",45,"Male","Yes Kids","deg","part-time",35000,"",0,0,"Village","Married",NA,1,3,4,3,3,3,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,3,4,4,4,3,"yes","yes",3.2,2.93333333333333,2.9,3.6,0.674,"Medium human development"
"Brazil",37.5,"Male","Yes Kids","phd","full-time",150000,"engineer",8,0,"Medium-Sized","Married",NA,0,4,3,3,3,2,2,2,4,2,3,3,2,4,2,4,4,2,4,1,4,4,2,4,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,2,3,2,4,4,"yes","yes",3,2.86666666666667,3.55,3,0.754,"High human development"
"Brazil",45,"Female","Yes Kids","deg","full-time",15000,"Translator",10,10,"Large-City","Married",NA,1,5,5,4,3,3,2,3,3,3,3,4,2,4,3,4,5,3,3,2,3,4,3,3,5,3,3,3,4,5,3,4,5,3,4,4,4,3,4,3,3,2,3,2,3,4,"yes","",4,3.13333333333333,3.65,2.8,0.754,"High human development"
"Canada",37.5,"Female","Yes Kids","ma","full-time",87500,"Self Employed",0,8,"Large-City","Married",NA,1,4,4,3,3,3,3,4,4,5,3,3,4,3,2,3,4,4,4,3,4,4,3,3,3,4,3,4,3,3,4,4,3,4,5,4,4,4,2,3,1,3,3,3,4,4,"yes","no",3.4,3.53333333333333,3.4,3.4,0.92,"Very high human development"
"Canada",67.5,"Male","Yes Kids","deg","full-time",87500,"President",30,0,"Medium-Sized","Married",NA,2,2,2,3,1,1,3,1,1,1,2,3,3,2,1,2,1,2,3,1,2,3,1,1,2,2,2,2,3,3,1,5,3,3,2,3,3,2,3,3,3,3,3,3,3,3,"yes","yes",1.8,1.86666666666667,2.5,3,0.92,"Very high human development"
"Canada",32.5,"Male","Yes Kids","phd","student",25000,NA,4,2,"Large-City","Married",NA,0,3,3,4,3,3,1,1,2,3,3,4,3,3,4,3,3,3,3,2,3,3,1,2,3,2,2,3,3,4,2,3,4,1,2,4,3,3,3,4,3,2,3,2,3,2,"yes","yes",3.2,2.73333333333333,2.75,2.4,0.92,"Very high human development"
"Canada",32.5,"Male","Yes Kids","phd","student",25000,NA,4,2,"Large-City","Married",NA,0,3,3,4,3,3,1,1,2,3,3,4,3,3,4,3,3,3,3,2,3,3,1,2,3,2,2,3,3,4,2,3,4,1,2,4,3,3,3,4,3,2,3,2,3,2,"yes","yes",3.2,2.73333333333333,2.75,2.4,0.92,"Very high human development"
"Canada",37.5,"Female","Yes Kids","ltuni","full-time",45000,"Divisional Manager of a large cosmetics",4,5,"Small Town","Married",NA,0,5,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.46666666666667,4.85,1,0.92,"Very high human development"
"Canada",67.5,"Female","Yes Kids","ltuni","retired",87500,NA,0,0,"Small City","Married",NA,0,3,2,3,3,3,1,1,3,2,2,1,2,4,3,4,5,3,2,1,1,5,1,5,2,1,1,5,4,4,5,5,3,2,4,4,1,1,4,3,3,2,4,2,4,3,"yes","no",2.8,2.33333333333333,3.15,3,0.92,"Very high human development"
"Canada",28,"Male","Yes Kids","deg","full-time",67500,"Regional Sales Manager",1,0,"Large-City","Married",NA,0,4,4,1,3,3,2,2,5,5,2,5,4,5,3,5,4,4,5,2,4,4,1,3,5,5,3,4,3,4,5,5,4,5,4,4,5,5,3,3,4,2,2,2,2,2,"yes","yes",3,3.8,3.95,2,0.92,"Very high human development"
"Canada",45,"Male","Yes Kids","deg","part-time",25000,"Instructional Assistant Online",3,0,"Medium-Sized","Married",NA,1,3,2,4,4,4,3,2,2,5,4,4,5,3,5,5,4,4,3,4,5,5,4,2,5,4,3,4,4,4,2,4,4,3,3,3,5,5,4,4,3,1,1,2,3,1,"yes","yes",3.4,3.86666666666667,3.75,1.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","deg","full-time",55000," innkeeper",17,0,"Rural/Country","Separated",NA,1,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,"yes","yes",3.2,2.6,3.05,3,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","deg","full-time",150000,"Deputy Chieif Information Officer",1,10,"Large-City","Married",NA,1,2,2,3,1,1,1,1,1,2,3,2,1,2,2,1,4,1,2,1,3,3,1,2,3,1,2,3,2,3,1,4,3,2,2,3,5,2,4,3,3,4,4,4,4,3,"no","no",1.8,1.8,2.6,3.8,0.92,"Very high human development"
"Canada",55,"Female","Yes Kids","ma","full-time",87500,"engineer",28,0,"Rural/Country","Married",NA,1,3,3,5,3,3,1,2,5,5,4,5,4,5,4,4,2,5,3,5,3,3,1,3,5,3,3,4,3,4,5,5,4,3,3,5,4,4,4,3,1,3,3,3,3,1,"yes","yes",3.4,3.8,3.5,2.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","phd","full-time",55000,"college professor",23,0,"Large-City","Married",NA,0,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,1,3,2,1,1,"yes","yes",4,4.6,4.2,1.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","deg","full-time",87500,"Director,social Dvelopment",3,7,"Large-City","Married",NA,1,2,3,3,2,2,4,2,3,3,3,2,4,3,2,3,4,2,3,2,3,3,2,3,4,4,2,3,3,3,1,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,"yes","yes",2.4,2.86666666666667,3.05,4,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","ma","part-time",67500,"Software engineer",17,0,"Large-City","Married",NA,2,2,2,3,2,3,1,1,3,4,3,2,2,3,2,3,2,3,2,2,2,4,2,3,2,3,3,3,3,4,4,2,4,4,4,3,4,3,4,4,4,2,2,4,3,3,"yes","yes",2.4,2.33333333333333,3.35,2.8,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","phd","full-time",87500,"",9,0,"Large-City","Married",NA,1,4,4,4,4,4,3,2,5,5,5,5,5,3,5,5,5,5,5,2,5,5,3,4,3,4,2,5,4,5,2,3,5,5,4,5,5,4,5,5,4,2,2,2,4,2,"yes","yes",4,4.33333333333333,4.1,2.4,0.92,"Very high human development"
"Canada",37.5,"Female","Yes Kids","ltuni","full-time",55000,"",3,6,"Large Town","Married",NA,1,5,4,4,4,4,1,1,1,3,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,5,3,4,3,4,4,3,4,1,4,4,4,3,4,5,3,5,5,4,5,3,"yes","no",4.2,3.06666666666667,3.6,4.4,0.92,"Very high human development"
"Canada",37.5,"Male","Yes Kids","ltuni","full-time",45000,"",14,0,"8","Married",NA,2,4,4,3,3,3,2,3,5,4,4,3,5,3,2,5,4,5,2,5,5,5,2,3,3,2,4,4,3,3,2,4,4,3,4,3,4,3,4,4,4,3,4,3,2,1,"yes","yes",3.4,3.8,3.4,2.6,0.92,"Very high human development"
"Canada",37.5,"Female","Yes Kids","dip","unemployed",NA,"",8,0,"Small Town","Married",NA,1,4,4,4,4,4,3,2,3,3,4,4,4,4,5,5,3,3,4,3,4,4,1,4,1,5,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,3,1,"yes","yes",4,3.6,3.65,2,0.92,"Very high human development"
"Canada",45,"Female","Yes Kids","ltuni","full-time",45000,"",0,0,"Small Town","Separated",NA,1,1,1,1,3,3,3,2,3,3,3,5,3,4,3,3,2,3,1,2,5,4,2,1,3,1,3,4,3,5,5,4,5,3,2,4,3,3,4,5,3,4,4,4,5,1,"yes","yes",1.8,3,3.35,3.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","dip","part-time",15000,"",6,0,"Medium-Sized","Married",NA,1,4,4,3,3,3,2,3,4,4,5,5,5,5,4,4,3,4,4,4,4,4,2,4,2,4,3,5,4,2,3,4,4,4,4,4,4,4,5,5,5,2,2,3,3,2,"yes","yes",3.4,4,3.8,2.4,0.92,"Very high human development"
"Canada",55,"Female","Yes Kids","ltuni","full-time",67500,"",0,0,"Small Town","Separated",NA,1,3,3,3,3,3,4,1,2,1,3,3,1,3,3,3,5,1,4,1,4,4,3,4,2,3,3,3,4,4,1,2,3,4,4,3,4,4,4,4,3,3,3,3,3,1,"yes","no",3,2.6,3.3,2.6,0.92,"Very high human development"
"Canada",28,"Male","Yes Kids","high","full-time",67500,"",4,0,"Village","Separated",NA,1,4,3,2,2,2,3,2,3,4,3,2,3,3,3,3,5,3,3,3,3,3,2,4,5,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,2,3,2,3,1,"yes","no",2.6,3.06666666666667,3.6,2.2,0.92,"Very high human development"
"Canada",37.5,"Male","Yes Kids","dip","full-time",87500,"",10,0,"Small Town","Married",NA,2,3,3,1,3,3,5,1,5,5,5,2,5,5,5,5,1,3,5,1,5,5,1,1,1,4,1,1,3,3,5,5,3,5,3,5,5,5,5,1,5,4,5,4,5,5,"yes","yes",2.6,3.86666666666667,3.35,4.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","dip","full-time",45000,"",7,11,"Large Town","Separated",NA,3,3,2,2,2,3,3,3,5,2,3,3,2,3,1,2,3,3,4,2,3,4,3,2,3,4,5,1,4,2,5,2,4,3,3,3,5,4,5,2,5,2,2,2,2,2,"yes","yes",2.4,2.8,3.45,2,0.92,"Very high human development"
"Canada",45,"Female","Yes Kids","ltuni","part-time",35000,"",10,0,"Small Town","Married",NA,1,4,2,3,2,2,2,5,5,5,5,5,5,4,3,5,5,4,2,5,5,5,5,3,2,5,2,4,1,4,2,5,5,3,3,4,5,4,5,5,4,3,3,2,2,1,"yes","yes",2.6,4.33333333333333,3.8,2.2,0.92,"Very high human development"
"Canada",37.5,"Female","Yes Kids","deg","full-time",67500,"",1,4,"Small Town","Married",NA,1,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,4,5,4,3,5,3,4,4,5,5,4,5,5,5,5,4,5,3,3,4,2,4,3,"yes","yes",3.8,4.8,4.3,3.2,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","ma","full-time",87500,"",5,0,"Small Town","Married",NA,2,4,2,1,1,1,1,1,5,2,4,5,4,3,2,4,1,1,2,1,3,4,3,3,1,1,2,4,2,4,1,2,4,1,1,3,4,3,3,4,3,3,5,4,4,1,"yes","yes",1.8,2.6,2.65,3.4,0.92,"Very high human development"
"Canada",55,"Female","Yes Kids","phd","full-time",87500,"",0,0,"Village","Married",NA,1,5,4,4,2,2,1,1,1,1,1,1,2,3,1,3,5,2,3,1,1,5,1,3,2,4,1,4,4,1,1,4,4,2,2,5,4,4,4,2,4,4,4,4,4,4,"yes","no",3.4,1.8,3.05,4,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","ma","full-time",25000,"",1,0,"Village","Married",NA,2,4,4,4,2,2,1,2,4,3,3,4,3,3,3,5,5,2,4,2,3,3,3,2,2,3,2,3,3,3,2,2,3,1,1,3,2,2,4,3,4,2,1,1,3,1,"yes","no",3.2,3.13333333333333,2.55,1.6,0.92,"Very high human development"
"Canada",55,"Male","Yes Kids","phd","full-time",67500,"",10,0,"Village","Married",NA,0,2,4,3,2,2,4,4,2,4,5,4,4,4,5,5,4,4,5,4,5,4,4,4,4,5,4,5,4,5,4,5,5,3,5,4,4,4,5,4,4,3,2,2,4,2,"yes","yes",2.6,4.2,4.3,2.6,0.92,"Very high human development"
"Canada",67.5,"Male","Yes Kids","ltuni","retired",45000,"",13,0,"Small Town","Married",NA,0,3,3,2,1,1,1,1,1,3,3,2,2,3,2,3,1,2,2,2,2,3,2,2,1,1,5,3,2,2,1,3,2,1,1,3,4,2,2,2,2,5,5,5,5,5,"no","no",2,2,2.2,5,0.92,"Very high human development"
"Canada",37.5,"Male","Yes Kids","deg","full-time",87500,"",2,0,"Small Town","Married",NA,2,5,4,4,3,3,2,3,3,4,3,2,3,4,3,4,4,4,5,2,2,5,1,4,4,3,2,5,4,4,4,4,5,3,3,4,4,3,4,4,5,2,3,2,3,2,"yes","yes",3.8,3.2,3.75,2.4,0.92,"Very high human development"
"Canada",55,"Female","Yes Kids","deg","full-time",55000,"",6,2,"Village","Married",NA,2,5,5,1,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,5,5,3,5,4,4,4,1,5,5,3,5,4,4,5,5,4,3,3,3,4,2,"yes","yes",4.2,4.6,4.15,3,0.92,"Very high human development"
"Canada",55,"Female","Yes Kids","ltuni","full-time",55000,"",6,0,"Village","Married",NA,2,5,5,5,5,5,4,3,5,5,5,5,4,4,5,5,4,3,5,3,5,5,5,5,4,5,4,5,4,5,5,1,5,5,3,5,5,5,5,5,5,3,3,3,4,1,"yes","yes",5,4.33333333333333,4.55,2.8,0.92,"Very high human development"
"Canada",45,"Female","Yes Kids","deg","part-time",NA,"",0,0,"Large Town","Married",NA,1,4,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,3,5,3,5,5,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,1,1,1,1,1,"yes","yes",4.8,4.46666666666667,4.7,1,0.92,"Very high human development"
"China",28,"Male","Yes Kids","ma","full-time",10000,"",3,0,"Village","Married",NA,0,5,5,3,3,3,3,2,4,4,5,5,3,5,5,5,5,3,4,4,4,5,3,3,3,3,4,4,3,5,4,3,4,4,4,4,5,4,5,5,4,1,2,2,2,3,"yes","no",3.8,4.06666666666667,3.95,2,0.738,"High human development"
"Croatia",45,"Female","Yes Kids","deg","part-time",NA,"",10,0,"Village","Married",NA,2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,"yes","yes",3.4,2.06666666666667,2.7,3.4,0.827,"Very high human development"
"Denmark",45,"Male","Yes Kids","ma","full-time",67500,"",1,0,"Large Town","Married",NA,3,5,4,4,3,3,1,3,5,5,4,5,5,1,5,5,1,4,4,1,1,5,1,3,1,1,1,4,3,4,3,3,4,5,3,1,5,4,5,4,5,1,1,1,2,2,"yes","yes",3.8,3.33333333333333,3.25,1.4,0.925,"Very high human development"
"Denmark",45,"Female","Yes Kids","ltuni","full-time",55000,"",0,3,"Village","Married",NA,1,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,2,2,3,2,2,3,3,3,2,3,4,4,3,3,3,4,3,2,3,3,4,4,3,4,3,4,4,4,3,3,"yes","no",3,2.66666666666667,3.2,3.6,0.925,"Very high human development"
"Ecuador",37.5,"Male","Yes Kids","dip","full-time",10000,"",3,0,"Village","Divorced",NA,0,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,"yes","no",4,4.13333333333333,3.55,2.2,0.739,"High human development"
"France",45,"Male","Yes Kids","ma","full-time",150000,NA,6,0,"Small City","Married",NA,1,2,5,4,2,2,4,4,3,4,4,1,5,4,5,2,4,3,2,4,4,4,3,2,4,4,2,5,4,4,1,4,4,4,4,4,3,2,5,4,4,2,5,3,3,4,"yes","yes",3,3.53333333333333,3.55,3.4,0.897,"Very high human development"
"Germany",37.5,"Male","Yes Kids","ma","full-time",150000,"Network Engineer",1,8,"Rural/Country","Married",NA,2,3,3,4,4,4,3,2,5,3,4,3,4,2,4,4,4,3,2,2,5,5,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,3,2,"yes","yes",3.6,3.33333333333333,4,2.8,0.926,"Very high human development"
"Germany",55,"Male","Yes Kids","ma","full-time",67500,"Quality Manager",2,0,"Large-City","Married",NA,1,4,4,4,5,5,3,2,5,3,4,5,4,5,4,4,4,3,2,3,5,5,3,4,1,4,3,4,4,4,4,2,5,3,4,5,4,3,4,4,4,3,2,4,3,1,"yes","yes",4.4,3.73333333333333,3.7,2.6,0.926,"Very high human development"
"Greece",37.5,"Male","Yes Kids","high","full-time",25000,"airport ground handler",9,0,"Medium-Sized","Separated",NA,4,3,4,4,3,3,3,2,4,4,4,3,2,5,4,3,5,2,4,2,4,4,2,4,5,5,5,3,4,3,2,4,2,3,2,4,5,4,4,5,4,1,2,2,1,1,"yes","no",3.4,3.4,3.7,1.4,0.866,"Very high human development"
"Greece",67.5,"Male","Yes Kids","phd","retired",25000,"",0,0,"Village","Married",NA,1,4,4,4,3,3,1,1,1,2,2,4,5,4,3,3,4,2,2,1,2,3,2,1,1,1,2,3,3,5,1,5,3,1,1,3,3,2,3,3,3,1,1,1,1,4,"yes","no",3.6,2.46666666666667,2.45,1.6,0.866,"Very high human development"
"India",32.5,"Male","Yes Kids","ma","full-time",10000,"Marketing",2,0,"Large-City","Married",NA,0,2,3,5,3,2,1,2,2,3,1,2,3,2,2,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,4,1,2,2,1,"no","no",3,1.73333333333333,1.5,2,0.624,"Medium human development"
"India",32.5,"Male","Yes Kids","ma","full-time",35000,"Software Pro",2,0,"Large-City","Married",NA,0,4,3,3,2,2,2,3,4,3,3,4,3,4,3,4,3,3,2,3,4,4,4,4,4,2,2,2,2,2,2,3,4,2,3,4,3,2,3,2,3,3,3,4,4,2,"yes","yes",2.8,3.2,2.85,3.2,0.624,"Medium human development"
"India",32.5,"Male","Yes Kids","ma","full-time",55000,"Marketing",1,0,"Large-City","Married",NA,1,5,5,3,3,3,4,2,5,2,4,4,4,3,3,3,5,3,2,2,4,4,4,4,4,4,2,4,4,5,1,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,"yes","yes",3.8,3.33333333333333,3.6,3.2,0.624,"Medium human development"
"India",45,"Male","Yes Kids","phd","full-time",150000,"",7,0,"Village","Married",NA,1,3,2,2,2,2,4,2,5,2,3,4,3,4,3,3,4,3,4,2,3,3,4,5,5,3,3,3,3,3,3,4,5,4,5,4,5,4,4,2,5,4,4,4,5,2,"yes","yes",2.2,3.26666666666667,3.85,3.8,0.624,"Medium human development"
"India",45,"Male","Yes Kids","ltuni","full-time",NA,"",0,0,"Village","Married",NA,0,4,4,4,4,4,2,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,2,5,3,4,2,5,2,4,5,4,5,1,5,4,3,3,4,5,4,3,3,1,4,2,"yes","yes",4,4,3.7,2.6,0.624,"Medium human development"
"India",32.5,"Male","Yes Kids","ma","full-time",NA,"",9,0,"Village","Married",NA,0,3,4,2,3,3,3,2,2,2,4,4,4,4,2,4,1,2,4,2,3,3,2,2,2,3,2,2,2,3,1,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,"yes","yes",3,2.86666666666667,2.7,3.6,0.624,"Medium human development"
"India",45,"Male","Yes Kids","deg","part-time",87500,"",1,2,"Village","Married",NA,0,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,1,5,1,5,5,5,5,5,4,5,5,5,1,2,1,1,1,"yes","yes",5,4.4,4.45,1.2,0.624,"Medium human development"
